,Date,Annee,Mois,Concateniser,Payor,Payee,Deposit,Withdrawal,General Leader Number,Debit,Credit,Category,Memo Field,Classification,Retained Copy-only notes,TPS 5%,TVQ 9.5%,0.9132420091,0.9523809524,,,
,2012-05-31,2012,5,2012-5Investissement Employee1,Employee1 Employee1,Investissement de Employee1,218.09,,,,Investissement Employee1,,Calculé selon l'actif dans l'encaisse et le débit de chaque compte.,,,,,577.7093868232,1179.1528767123,GuatemalaQuetzalesRate,20,
,2012-06-03,2012,6,2012-6Salaries & wages,81211,Paiement Employee1 May 2012,,1352.83,,,Salaries & wages,,Paiement Employee1 pour le mois de May Complet,,,,,,,,,
,2012-06-03,2012,6,2012-6Payroll taxes,81211,Remise gouvernementale/Retenue à la source Qc.,,1919.64,,,Payroll taxes,,,,,,,,,,,
,2012-06-03,2012,6,2012-6Payroll taxes,81211,Remise gouvernementale/Retenue à la source féd.,,950.05,,,Payroll taxes,,,,,,,,,,,
,2012-06-12,2012,6,2012-6Publicity Credit,,La Vieille Europe,,49.64,,,Publicity Credit,,Wine and Cheese iField Launch party for clients,,,2.16,4.31,,,,,
,2012-06-12,2012,6,2012-6Representation Credit,,Montreal Poutine,,36.16,,,Representation Credit,,"meeting with Alan Jessica Employee3, emmy and Employee2 after first demo 16.70 + 14.68 + 8.07 tip 5.50",,,1.72,3.42,,,,,
,2012-06-14,2012,6,2012-6Salaries & wages,81211,PMT Employee1,,676.41,,,Salaries & wages,,,,,,,,,,,
,2012-06-14,2012,6,2012-6Salaries & wages,81211,PMT Teressa 2X,,2759.25,,,Salaries & wages,,Paiement Theressa 2x (par ING),,,,,,,,,
,2012-06-15,2012,6,2012-6Office food Credit,,Kien Vihn Supermarket,,2.03,,,Office food Credit,,fruit for office employees,,,0.09,0.18,,,,,
,2012-06-19,2012,6,2012-6Representation Credit,,La Legende' Patisserie,,7.99,,,Representation Credit,,dinner at la legende for meeting with either alex or Employee7,,,0.35,0.69,,,,,
,2012-06-20,2012,6,2012-6Representation Credit,,L3B,,18.04,,,Representation Credit,,meeting with prospective PostDoc Jonathan Howel and Emmy and Employee8 at 3 brasseures 2.35tip,,,0.68,1.36,,,,,
,2012-06-25,2012,6,2012-6Owners' investment,81211,Investissement de Employee3,2000,,,,Owners' investment,,,,,,,,,,,
,2012-06-26,2012,6,2012-6Representation Credit,,Mai Xiang Yuan Restaurant,,26.42,,,Representation Credit,,Lunch at dumpling restaurant with emmy and yuliya,,,1,1.99,,,,,
,2012-06-28,2012,6,2012-6Cash,,McGill University – CREMOVED Invoice #309,1500,,,,Cash,,Invoice #309,,,-65.23,-130.14,,,,,
,2012-06-28,2012,6,2012-6Investissement Employee3,Mat,Investissement de Employee3,2000,,,,Investissement Employee3,,,,,,,,,,,
,2012-06-30,2012,6,2012-6Representation Credit,,Festival Int'l de Jazz,,62.99,,,Representation Credit,,saq tent at jazz fesitval with vicky and stephane tip 8.22,,,2.74,5.46,,,,,
,2012-06-30,2012,6,2012-6Owners' investment,Employee1 Employee1,Employee1 Food Credit card payment,2.03,,,,Owners' investment,,,,,,,,,,,
,2012-06-30,2012,6,2012-6Office food,,Transfert from credit to expenses,,2.03,,Office food Credit,Office food,,,,,,,,,,,
,2012-06-30,2012,6,2012-6Owners' investment,Employee1 Employee1,Employee1 Publicity Credit card payment,49.64,,,,Owners' investment,,,,,,,,,,,
,2012-06-30,2012,6,2012-6Publicity,,Transfert from credit to expenses,,49.64,,Publicity Credit,Publicity,,,,,,,,,,,
,2012-06-30,2012,6,2012-6Owners' investment,Employee1 Employee1,Employee1 Representation Credit card payment,151.6,,,,Owners' investment,,,,,,,,,,,
,2012-06-30,2012,6,2012-6Representation,,Transfert from credit to expenses,,151.6,,Representation Credit,Representation,,,,,,,,,,,
,2012-06-30,2012,6,2012-6Bank charges,81211,Frais fixes d'utilisation,,4.95,,,Bank charges,,,,,,,,,,,
,2012-06-30,2012,6,2012-6Telephone service Credit,,Telephone on Credit card,,118.88,,,Telephone service Credit,,,,,5.17,10.31,,,,,
,2012-06-30,2012,6,2012-6Telephone service,,Transfert from credit to expenses,,118.88,,Telephone service Credit,Telephone service,,,,,,,,,,,
,2012-06-30,2012,6,2012-6Owners' investment,Employee1 Employee1,Employee1 Phone Credit card payment,118.88,,,,Owners' investment,,,,,,,,,,,
,2012-06-30,2012,6,2012-6Investissement Employee1,Employee1 Employee1,Investissement de Employee1,322.15,,,,Investissement Employee1,,Calculé selon l'actif dans l'encaisse et le débit de chaque compte.,,,,,,,GuatemalaQuetzalesRate,,
,2012-07-03,2012,7,2012-7Traveling Credit,,AMT,,7,,,Traveling Credit,,Train ticket to Deux Montangues,,,,,,,,,
,2012-07-03,2012,7,2012-7Representation Credit,,La Legende' Patisserie,,18,,,Representation Credit,,cake for deux montangues,,,0.78,1.56,,,,,
,2012-07-03,2012,7,2012-7Representation Credit,,Cafe Terrasse chex Catherine,,9.78,,,Representation Credit,,ice cream with emmy Employee8 yuliya and Employee2 in old port on yuliyas last day,,,0.43,0.85,,,,,
,2012-07-03,2012,7,2012-7Office rent & utilities,81211,Rent Jully-August-Sept,,2069.55,,,Office rent & utilities,,Check Num 9,,,90.00,179.55,,,,,
,2012-07-04,2012,7,2012-7Representation Credit,,L2 Lounge,,3.55,,,Representation Credit,,bubble tea with emmy and Employee8,,,0.16,0.31,,,,,
,2012-07-09,2012,7,2012-7Payroll taxes,81211,Remise gouvernementale/Retenue à la source Qc.,,1279.76,,,Payroll taxes,,,,,,,,,,,
,2012-07-09,2012,7,2012-7Payroll taxes,81211,Remise gouvernementale/Retenue à la source féd.,,633.36,,,Payroll taxes,,,,,,,,,,,
,2012-07-09,2012,7,2012-7Salaries & wages,81211,PMT Teressa,,1379.62,,,Salaries & wages,,PMT Theressa (By ing),,,,,,,,,
,2012-07-09,2012,7,2012-7Salaries & wages,81211,PMT Employee1,,676.41,,,Salaries & wages,,PMT Employee1,,,,,,,,,
,2012-07-16,2012,7,2012-7Owners' investment,81211,Investissement de Employee1,500,,,,Owners' investment,,,,,,,,,,,
,2012-07-16,2012,7,2012-7Investissement Employee1,Employee1 Employee1,Investissement de Employee1,500,,,,Investissement Employee1,,,,,,,,,,,
,2012-07-16,2012,7,2012-7Salaries & wages,81211,PMT Teressa,,1379.62,,,Salaries & wages,,PMT Theressa (By ing),,,,,,,,,
,2012-07-17,2012,7,2012-7Office food Credit,,IGA,,9.57,,,Office food Credit,,Orange juice and baggettes for employee mimosa party post iField launch,,,0.42,0.83,,,,,
,2012-07-23,2012,7,2012-7Cash,,Concordia University – BREMOVED Invoice #313 & #314,2250.01,,,,Cash,,Invoices #313 and #314,,,-97.85,-195.21,,,,,
,2012-07-30,2012,7,2012-7Representation Credit,,The Counter,,28.42,,,Representation Credit,,Lunch at airport in Miami with iField clients Jessica and Emmy,,,1.24,2.47,,,,,
,2012-07-30,2012,7,2012-7Representation Credit,,Bagel Bar,,23.41,,,Representation Credit,,Breakfast at montreal airport with emmy,,,1.02,2.03,,,,,
,2012-07-30,2012,7,2012-7Representation Credit,,Las Tres Condesas,,27.63,,,Representation Credit,,"Dinner with clients in Antigua Guatemala Robert, Jessica, Lauren, Emmy, Gretchen ",,,,,,,,,
,2012-07-31,2012,7,2012-7Representation Credit,,"Maite, Morjan Arduengo",,6.38,,,Representation Credit,,Working coffee with emmy while useing wifi to merge before demo,,,,,,,,,
,2012-07-31,2012,7,2012-7Representation Credit,,La Fonda de la Calle Real,,19.18,,,Representation Credit,,Lunch with emmy in Antigua Guatemala,,,,,,,,,
,2012-07-31,2012,7,2012-7Owners' investment,Employee1 Employee1,Employee1 Traveling Credit card payment,7,,,,Owners' investment,,,,,,,,,,,
,2012-07-31,2012,7,2012-7Traveling,,Transfert from credit to expenses,,7,,Traveling Credit,Traveling,,,,,,,,,,,
,2012-07-31,2012,7,2012-7Owners' investment,Employee1 Employee1,Employee1 Food Credit card payment,9.57,,,,Owners' investment,,,,,,,,,,,
,2012-07-31,2012,7,2012-7Office food,,Transfert from credit to expenses,,9.57,,Office food Credit,Office food,,,,,,,,,,,
,2012-07-31,2012,7,2012-7Owners' investment,Employee1 Employee1,Employee1 Representation Credit card payment,136.34,,,,Owners' investment,,,,,,,,,,,
,2012-07-31,2012,7,2012-7Representation,,Transfert from credit to expenses,,136.34,,Representation Credit,Representation,,,,,,,,,,,
,2012-07-31,2012,7,2012-7Bank charges,81211,Frais fixes d'utilisation,,4.95,,,Bank charges,,,,,,,,,,,
,2012-07-31,2012,7,2012-7Telephone service Credit,,Telephone on Credit card,,118.88,,,Telephone service Credit,,,,,5.17,10.31,,,,,
,2012-07-31,2012,7,2012-7Telephone service,,Transfert from credit to expenses,,118.88,,Telephone service Credit,Telephone service,,,,,,,,,,,
,2012-07-31,2012,7,2012-7Owners' investment,Employee1 Employee1,Employee1 Phone Credit card payment,118.88,,,,Owners' investment,,,,,,,,,,,
,2012-07-31,2012,7,2012-7Investissement Employee1,Employee1 Employee1,Investissement de Employee1,271.79,,,,Investissement Employee1,,,,,,,,,,,
,2012-08-01,2012,8,2012-8Hotel Credit,,Hostal Las Marias,,120.00,,,Hotel Credit,,Lodiging in Antigua Guatemala on business trip with clients to demo iField,,,,,,,,,
,2012-08-01,2012,8,2012-8Salaries & wages,81211,PMT Teressa,,1379.62,,,Salaries & wages,,PMT Theressa (By ing),,,,,,,,,
,2012-08-01,2012,8,2012-8Owners' investment,81211,Investissement de Employee1,500,,,,Owners' investment,,,,,,,,,,,
,2012-08-01,2012,8,2012-8Investissement Employee1,Employee1 Employee1,Investissement de Employee1,500,,,,Investissement Employee1,,,,,,,,,,,
,2012-08-01,2012,8,2012-8Payroll taxes,81211,Remise gouvernementale/Retenue à la source Qc.,,997.72,,,Payroll taxes,,,,,,,,,,,
,2012-08-01,2012,8,2012-8Payroll taxes,81211,Remise gouvernementale/Retenue à la source féd.,,503.78,,,Payroll taxes,,,,,,,,,,,
,2012-08-04,2012,8,2012-8Representation Credit,,Tiki Ming,,9.47,,,Representation Credit,,,,,0.00,0.00,,,,,
,2012-08-06,2012,8,2012-8Representation Credit,,Pizza Hut Aeropuerto,,5.63,,,Representation Credit,,Lunch at airport in Guatemala city with iField clients,,,0.24,0.49,,,,,
,2012-08-06,2012,8,2012-8Representation Credit,,Carlos & Carlos,,37.88,,,Representation Credit,,"lunch at airport in guatemala city for emmy, jessica and robert",,,1.65,3.29,,,,,
,2012-08-07,2012,8,2012-8Cash,,McGill University – CREMOVED Invoice #310,750.01,,,,Cash,,Invoice #310,,,-32.62,-65.07,,,,,
,2012-08-14,2012,8,2012-8Cash,,McGill University – RREMOVED Invoice #318,2874.38,,,,Cash,,Invoice #318,,,-125.00,-249.38,,,,,
,2012-08-14,2012,8,2012-8Representation Credit,,L'Ambroisie,,7.81,,,Representation Credit,,Javascript montreal happy hour and networking 1.00 tip,,,0.3,0.59,,,,,
,2012-08-16,2012,8,2012-8Representation Credit,,Restaurnt Mon-Nan,,21,,,Representation Credit,,Lunch with Employee8 and Employee2,,,0.91,1.82,,,,,
,2012-08-16,2012,8,2012-8Owners' investment,,Employee1 Representation Credit card payment,,,,,Owners' investment,,,,,,,,,,,
,2012-08-18,2012,8,2012-8Traveling Credit,Employee1 Employee1,Train,,49,,,Traveling Credit,,Train ticket,,,,,,,,,
,2012-08-18,2012,8,2012-8Traveling Credit,Employee1 Employee1,Transit Food Harry,,17.3,,,Traveling Credit,,Food in transit,,,,,,,,,
,2012-08-18,2012,8,2012-8Traveling Credit,Employee1 Employee1,Transit food,,7.51,,,Traveling Credit,,Food in transit,,,,,,,,,
,2012-08-18,2012,8,2012-8Traveling,Employee1 Employee1,Employee1 Traveling Credit card payment,,56.51,,Traveling Credit,Traveling,,PMT Credit card,,,,,,,,,
,2012-08-18,2012,8,2012-8Owners' investment,Employee1 Employee1,Transfert from credit to expenses,56.51,,,,Owners' investment,,,,,,,,,,,
,2012-08-28,2012,8,2012-8Cash,81211,McGill University – CREMOVED Invoice #311,750,,,,Cash,,,,,,,,,,,
,2012-08-23,2012,8,2012-8Publicity Credit,Employee1 Employee1,Business Card,,23,,,Publicity Credit,,,,,,,,,,,
,2012-08-31,2012,8,2012-8Publicity,Employee1 Employee1,Business Card,,23,,Publicity Credit,Publicity,,,,,,,,,,,
,2012-08-31,2012,8,2012-8Owners' investment,Employee1 Employee1,Employee1 Publicity Credit card payment,23,,,,Owners' investment,,,,,,,,,,,
,2012-08-30,2012,8,2012-8Representation Credit,Employee1 Employee1,Presse CAFE,,2.88,,,Representation Credit,,,,,,,,,,,
,2012-08-24,2012,8,2012-8Representation Credit,Employee1 Employee1,Cafe Depot,,2.62,,,Representation Credit,,,,,,,,,,,
,2012-08-23,2012,8,2012-8Representation Credit,Employee1 Employee1,Thai Express,,17.2,,,Representation Credit,,,,,,,,,,,
,2012-08-31,2012,8,2012-8Owners' investment,Employee1 Employee1,Employee1 Representation Credit card payment,104.48,,,,Owners' investment,,,,,,,,,,,
,2012-08-31,2012,8,2012-8Representation,,Transfert from credit to expenses,,104.48,,Representation Credit,Representation,,,,,,,,,,,
,2012-08-31,2012,8,2012-8Bank charges,81211,Frais fixes d'utilisation,,4.95,,,Bank charges,,,,,,,,,,,
,2012-08-31,2012,8,2012-8Telephone service Credit,,Telephone on Credit card,,118.88,,,Telephone service Credit,,,,,5.17,10.31,,,,,
,2012-08-31,2012,8,2012-8Telephone service,,Transfert from credit to expenses,,118.88,,Telephone service Credit,Telephone service,,,,,,,,,,,
,2012-08-31,2012,8,2012-8Owners' investment,Employee1 Employee1,Employee1 Phone Credit card payment,118.88,,,,Owners' investment,,,,,,,TPS,TVQ,C.Affaire,PMT TPS,PMT TVQ
,2012-08-31,2012,8,2012-8Investissement Employee1,Employee1 Employee1,Investissement de Employee1,223.36,,,,Investissement Employee1,,,,,,,121.389819526,242.1337899543,7374.4,320.70,639.79
,2012-09-07,2012,9,2012-9Cash,81211,McGill University – WREMOVED Invoice #315,1500,,,,Cash,,,,,-65.23,-130.14,,,,,
,2012-09-13,2012,9,2012-9Cash,81211,McGill University – WREMOVED Invoice full,750,,,,Cash,,,,,-32.62,-65.07,,,,,
,2012-09-17,2012,9,2012-9Internet connection & hosting credit,,Google Play fee,,24.84,,,Internet connection & hosting credit,,,,,1.08,2.16,,,,,
,2012-09-06,2012,9,2012-9Internet connection & hosting credit,,Telephone on Credit card,,15.7,,,Internet connection & hosting credit,,,,,0.68,1.36,,,,,
,2012-09-06,2012,9,2012-9Internet connection & hosting credit,,Telephone on Credit card,,31.4,,,Internet connection & hosting credit,,,,,1.37,2.72,,,,,
,2012-09-06,2012,9,2012-9Internet connection & hosting,,Transfert from credit to expenses,,71.94,,Internet connection & hosting credit,Internet connection & hosting,,,,,,,,,,,
,2012-09-06,2012,9,2012-9Owners' investment,Employee1 Employee1,Employee1 Credit card payment,71.94,,,,Owners' investment,,,,,,,,,,,
,2012-09-28,2012,9,2012-9Bank charges,81211,Frais fixes d'utilisation,,4.95,,,Bank charges,,,,,,,,,,,
,2012-09-02,2012,9,2012-9Office food Credit,Employee1 Employee1,IGA,,11.06,,,Office food Credit,,Lime and cream,,,0.00,0.00,,,,,
,2012-09-12,2012,9,2012-9Office food Credit,Employee1 Employee1,Provigo,,16.01,,,Office food Credit,,Milk cream,,,0.00,0.00,,,,,
,2012-09-12,2012,9,2012-9Office food,Employee1 Employee1,Office food Credit,,27.07,,Office food Credit,Office food,,,,,,,,,,,
,2012-09-30,2012,9,2012-9Owners' investment,Employee1 Employee1,Employee1 Office Food Credit card payment,27.07,,,,Owners' investment,,,,,,,,,,,
,2012-09-13,2012,9,2012-9Representation Credit,Employee1 Employee1,Traiteur Satay Bros,,13.01,,,Representation Credit,,,,,,,,,,,
,2012-09-07,2012,9,2012-9Representation Credit,Employee1 Employee1,Bambou Bol,,8.04,,,Representation Credit,,,,,,,,,,,
,2012-09-18,2012,9,2012-9Representation Credit,Employee1 Employee1,A&W,,9.48,,,Representation Credit,,,,,,,,,,,
,2012-09-27,2012,9,2012-9Representation Credit,Employee1 Employee1,Noodle Factory,,7.5,,,Representation Credit,,,,,,,,,,,
,2012-09-30,2012,9,2012-9Representation,Employee1 Employee1,Transfert from credit to expenses,,38.03,,Representation Credit,Representation,,,,,,,,,,,
,2012-09-30,2012,9,2012-9Owners' investment,Employee1 Employee1,Employee1 Representation Credit card payment,38.03,,,,Owners' investment,,,,,,,,,,,
,2012-09-30,2012,9,2012-9Telephone service Credit,,Telephone on Credit card,,118.88,,,Telephone service Credit,,,,,5.17,10.31,,,,,
,2012-09-30,2012,9,2012-9Telephone service,,Transfert from credit to expenses,,118.88,,Telephone service Credit,Telephone service,,,,,,,,,,,
,2012-09-30,2012,9,2012-9Owners' investment,Employee1 Employee1,Employee1 Phone Credit card payment,118.88,,,,Owners' investment,,,,,,,,,,,
,2012-10-02,2012,10,2012-10Internet connection & hosting credit,,Hosting on Credit card,,31.4,,,Internet connection & hosting credit,,,,,1.37,2.72,,,,,
,2012-10-02,2012,10,2012-10Internet connection & hosting,,Transfert from credit to expenses,,31.4,,Internet connection & hosting credit,Internet connection & hosting,,,,,,,,,,,
,2012-10-02,2012,10,2012-10Owners' investment,Employee1 Employee1,Employee1 Credit card payment,31.4,,,,Owners' investment,,,,,,,,,,,
,2012-10-09,2012,10,2012-10Office rent & utilities,81211,Rent Jully-August-Sept,,2069.55,,,Office rent & utilities,,Check Num 10,,,90.00,179.55,,,,,
,2012-10-09,2012,10,2012-10Equipments – purchase credit,,Nexus 7 Tablet on Credit card,,300.82,,,Equipments – purchase credit,,Buying the Tablet for Dev. BestBuy.ca #900,,,13.08,26.10,,,,,
,2012-10-09,2012,10,2012-10Equipments – purchase,,Transfert from credit to expenses,,300.82,,Equipments – purchase credit,Equipments – purchase,,,,,,,,,,,
,2012-10-09,2012,10,2012-10Owners' investment,Employee1 Employee1,Employee1 Credit card payment,300.82,,,,Owners' investment,,,,,,,,,,,
,2012-10-26,2012,10,2012-10Cash,81211,McGill University – TREMOVED Invoice full,3000,,,,Cash,,,,,-130.46,-260.27,,,,,
,2012-10-30,2012,10,2012-10Cash,81211,PMT WSX Invoice #322,6610.13,,,,Cash,,,,,-287.46,-573.48,,,,,
,2012-10-30,2012,10,2012-10Office food Credit,Employee1 Employee1,IGA,,24.79,,,Office food Credit,,,,,,,,,,,
,2012-10-31,2012,10,2012-10Office food,Employee1 Employee1,Office food Credit,,24.79,,Office food Credit,Office food,,,,,,,,,,,
,2012-10-31,2012,10,2012-10Owners' investment,Employee1 Employee1,Employee1 Office Food Credit card payment,24.79,,,,Owners' investment,,,,,,,,,,,
,2012-10-19,2012,10,2012-10Representation Credit,Employee1 Employee1,Mongolian Hot Pot,,30.55,,,Representation Credit,,,,,,,,,,,
,2012-10-18,2012,10,2012-10Representation Credit,Employee1 Employee1,Patisserie La Legende Pastry,,23.51,,,Representation Credit,,,,,,,,,,,
,2012-10-29,2012,10,2012-10Representation Credit,Employee1 Employee1,Resto M.C.,,9.48,,,Representation Credit,,,,,,,,,,,
,2012-10-23,2012,10,2012-10Representation Credit,Employee1 Employee1,Croissant plus N O,,9.53,,,Representation Credit,,,,,,,,,,,
,2012-10-31,2012,10,2012-10Representation,Employee1 Employee1,Transfert from credit to expenses,,73.07,,Representation Credit,Representation,,,,,,,,,,,
,2012-10-31,2012,10,2012-10Owners' investment,Employee1 Employee1,Employee1 Representation Credit card payment,73.07,,,,Owners' investment,,,,,,,,,,,
,2012-10-31,2012,10,2012-10Telephone service Credit,,Telephone on Credit card,,120.68,,,Telephone service Credit,,,,,5.25,10.47,,,,,
,2012-10-31,2012,10,2012-10Telephone service,,Transfert from credit to expenses,,120.68,,Telephone service Credit,Telephone service,,,,,,,,,,,
,2012-10-31,2012,10,2012-10Owners' investment,Employee1 Employee1,Employee1 Phone Credit card payment,120.68,,,,Owners' investment,,,,,,,,,,,
,2012-11-12,2012,11,2012-11Office food Credit,Employee1 Employee1,Provigo,,13.97,,,Office food Credit,,,,,,,,,,,
,2012-11-30,2012,11,2012-11Office food,Employee1 Employee1,Office food Credit,,13.97,,Office food Credit,Office food,,,,,,,,,,,
,2012-11-30,2012,11,2012-11Owners' investment,Employee1 Employee1,Employee1 Office Food Credit card payment,13.97,,,,Owners' investment,,,,,,,,,,,
,2012-11-30,2012,11,2012-11Telephone service Credit,,Telephone on Credit card,,128.28,,,Telephone service Credit,,,,,,,,,,,
,2012-11-30,2012,11,2012-11Telephone service,,Transfert from credit to expenses,,128.28,,Telephone service Credit,Telephone service,,,,,,,,,,,
,2012-11-30,2012,11,2012-11Owners' investment,Employee1 Employee1,Employee1 Phone Credit card payment,128.28,,,,Owners' investment,,,,,,,,,,,
,2012-12-18,2012,12,2012-12Representation Credit,Employee1 Employee1,Resto M.C.,,18.98,,,Representation Credit,,,,,,,,,,,
,2012-12-18,2012,12,2012-12Representation Credit,Employee1 Employee1,Resto M.C.,,5.18,,,Representation Credit,,,,,,,,,,,
,2012-12-18,2012,12,2012-12Representation Credit,Employee1 Employee1,Resto M.C.,,9.48,,,Representation Credit,,,,,,,,,,,
,2012-12-12,2012,12,2012-12Representation Credit,Employee1 Employee1,Saint-Cinnamon,,2.37,,,Representation Credit,,,,,,,,,,,
,2012-12-31,2012,12,2012-12Representation,Employee1 Employee1,Transfert from credit to expenses,,36.01,,Representation Credit,Representation,,,,,,,,,,,
,2012-12-31,2012,12,2012-12Owners' investment,Employee1 Employee1,Employee1 Representation Credit card payment,36.01,,,,Owners' investment,,,,,,,,,,,
,2012-12-19,2012,12,2012-12Office food Credit,Employee1 Employee1,IGA,,13.46,,,Office food Credit,,,,,,,,,,,
,2012-10-31,2012,10,2012-10Office food,Employee1 Employee1,Office food Credit,,13.46,,Office food Credit,Office food,,,,,,,,,,,
,2012-10-31,2012,10,2012-10Owners' investment,Employee1 Employee1,Employee1 Office Food Credit card payment,13.46,,,,Owners' investment,,,,,,,,,,,
,2012-12-18,2012,12,2012-12Traveling Credit,Employee1 Employee1,Transit food,,24,,,Traveling Credit,,,,,,,,,,,
,2012-12-31,2012,12,2012-12Traveling,Employee1 Employee1,Transfert from Traveling credit to expenses,,24,,Traveling Credit,Traveling,,,,,,,,,,,
,2012-12-31,2012,12,2012-12Owners' investment,Employee1 Employee1,Employee1 Traveling Credit card payment,24,,,,Owners' investment,,,,,,,,,,,
,2012-12-31,2012,12,2012-12Telephone service Credit,,Telephone on Credit card,,155.09,,,Telephone service Credit,,,,,6.74,13.46,,,,,
,2012-12-31,2012,12,2012-12Telephone service,,Transfert from credit to expenses,,155.09,,Telephone service Credit,Telephone service,,,,,,,,,,,
,2012-12-31,2012,12,2012-12Owners' investment,Employee1 Employee1,Employee1 Phone Credit card payment,155.09,,,,Owners' investment,,,,,,,,,,,
,2012-12-03,2012,12,2012-12Internet connection & hosting credit,,Domainatcost Hosting on Credit card,,13.6,,,Internet connection & hosting credit,,Domainsatcost,,,0.59,1.18,,,,,
,2012-12-03,2012,12,2012-12Internet connection & hosting,,Transfert from credit to expenses,,13.6,,Internet connection & hosting credit,Internet connection & hosting,,,,,,,,,,,
,2012-12-03,2012,12,2012-12Owners' investment,Employee1 Employee1,Employee1 Credit card payment,13.6,,,,Owners' investment,,,,,,,,,,,
,2012-10-31,2012,10,2012-10Bank charges,81211,Frais fixes d'utilisation,,4.95,,,Bank charges,,,,,,,,,,,
,2012-11-09,2012,11,2012-11Bank charges,81211,Check Order,,145.62,,,Bank charges,,,,,,,,,,,
,2012-11-15,2012,11,2012-11Salaries & wages,81211,PMT Employee1 Check,,4259.94,,,Salaries & wages,,PMT Employee1 Check New Batch Number 1,,,,,,,,,
,2012-11-15,2012,11,2012-11Salaries & wages,81211,PMT Employee11 Employee11 Check,,776.98,,,Salaries & wages,,PMT Employee11 Check New Batch Number 3,,,,,,,,,
,2012-11-15,2012,11,2012-11Salaries & wages,81211,PMT Contract USA Dr.Employee6,,5000,,,Salaries & wages,,PMT Dr.Employee6 Check Old Batch Number 8,,,,,,,,,
,2012-11-19,2012,11,2012-11Cash,81211,PMT WSX Invoice #323,8965,,,,Cash,,,,,,,,,,,
,2012-11-30,2012,11,2012-11Taxes,81211,Remise gouvernementale TPS-TVQ / Paiement taxes TPS TVQ,,596.97,,,Taxes,,,,,,,,,,,
,2012-11-30,2012,11,2012-11Salaries & wages,81211,PMT Employee1 Check,,1198.2,,,Salaries & wages,,PMT Employee1 Check New Batch Number 5,,,,,,,,,
,2012-11-30,2012,11,2012-11Salaries & wages,81211,PMT Employee11 Employee11 Check,,984.65,,,Salaries & wages,,PMT Employee1 Check New Batch Number 4,,,,,,,,,
,2012-11-30,2012,11,2012-11Bank charges,81211,Frais fixes d'utilisation,,4.95,,,Bank charges,,,,,,,,,,,
,2012-11-30,2012,11,2012-11Bank charges,81211,Frais fixes d'utilisation,,1.25,,,Bank charges,,,,,,,,,,,
,2012-12-12,2012,12,2012-12Payroll taxes,81211,Remise gouvernementale/Retenue à la source Qc.,,2758.33,,,Payroll taxes,,,,,,,,,,,
,2012-12-12,2012,12,2012-12Payroll taxes,81211,Remise gouvernementale/Retenue à la source féd.,,1013.72,,,Payroll taxes,,,,,,,,,,,
,2012-12-14,2012,12,2012-12Salaries & wages,81211,PMT Employee11 Employee11 Check,,1157.05,,,Salaries & wages,,PMT Employee1 Check New Batch Number 8,,,,,,,,,
,2012-12-24,2012,12,2012-12Salaries & wages,81211,PMT Employee2 Check,,676.41,,,Salaries & wages,,PMT Employee1 Check New Batch Number 6,,,,,,,,,
,2012-12-28,2012,12,2012-12Owners' investment,81211,Investissement de Employee3,17000,,,,Owners' investment,,,,,,,,,,,
,2012-12-28,2012,12,2012-12Investissement Employee3,Mat,Investissement de Employee3,9000,,,,Investissement Employee3,,,,,,,,,,,
,2012-12-28,2012,12,2012-12Investissement Employee3,Employee1 Employee1,Investissement de Employee1,8000,,,,Investissement Employee3,,,,,,,,,,,
,2012-12-28,2012,12,2012-12Payroll taxes,81211,Remise gouvernementale/Retenue à la source Qc.,,5342.14,,,Payroll taxes,,Inclue tous les heures de Employee1 pour l'ete,,,,,,,,,
,2012-12-28,2012,12,2012-12Payroll taxes,81211,Remise gouvernementale/Retenue à la source féd.,,2152.86,,,Payroll taxes,,Inclue tous les heures de Employee1 pour l'ete,,,,,,,,,
,2012-12-28,2012,12,2012-12Salaries & wages,81211,PMT Employee1 Transfert Direct,,9585.6,,,Salaries & wages,,"PMT Employee1, Toutes les heures de cet ete qui n'ont pas ete payer (inclue 16 semaines)",,,,,,,,,
,2012-12-31,2012,12,2012-12Bank charges,81211,Frais fixes d'utilisation,,4.95,,,Bank charges,,,,,,,,,,,
,2013-01-04,2013,1,2013-1Cash,81211,PMT WSX Invoice #323,11121,,,,Cash,,,,,,,,,,,
,2013-01-07,2013,1,2013-1,81211,PMT Employee1 Check,,1198.2,,,,,,,,,,,,,,
,2013-01-09,2013,1,2013-1,81211,PMT Employee1 Check,,1180.95,,,,,,,,,,,,,,
,2012-12-22,2012,12,2012-12Traveling Credit,Employee1 Employee1,Shalimar Restaurent of Clifton,,17.1,,,Traveling Credit,,Travel for interview / Partnership NYC,,,,,,,,,
,2012-12-22,2012,12,2012-12Traveling Credit,Employee1 Employee1,Sunoco Gaz,,30,,,Traveling Credit,,Travel for interview / Partnership NYC,,,,,,,,,
,2012-12-25,2012,12,2012-12Traveling Credit,Employee1 Employee1,Circle K Gaz,,34,,,Traveling Credit,,Travel for interview / Partnership NYC,,,,,,,,,
,2012-12-25,2012,12,2012-12Traveling Credit,Employee1 Employee1,Cumberland farms Gaz,,15,,,Traveling Credit,,Travel for interview / Partnership NYC,,,,,,,,,
